Player,Team,Match Up,Game Date,W/L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST%,AST_TO,AST_RATIO,OREB%,DREB%,REB%,TM_TOV%,EFG%,TS%,USG%,PACE
Dwayne Bacon,ORL,ORL @ PHI,05/16/2021,L,27,103.4,144.1,-40.6,11.8,0.00,18.2,7.1,17.9,12.5,0.0,42.9,51.4,13.8,103.68
Rui Hachimura,WAS,WAS vs. CHA,05/16/2021,W,34,106.8,110.5,-3.8,0.0,0.00,0.0,0.0,14.0,7.9,0.0,66.7,66.7,15.2,104.80
Moritz Wagner,ORL,ORL @ PHI,05/16/2021,L,35,102.6,111.5,-8.9,5.0,1.00,10.0,0.0,9.8,5.4,10.0,90.0,91.6,10.6,107.41
Romeo Langford,BOS,BOS @ NYK,05/16/2021,L,34,101.5,101.5,0.0,5.0,0.50,5.9,3.2,9.1,6.3,11.8,45.5,51.3,22.9,92.11
Georges Niang,UTA,UTA @ SAC,05/16/2021,W,19,123.7,94.9,28.8,7.1,0.00,11.1,0.0,5.6,2.8,0.0,57.1,63.5,18.6,96.33
Isaiah Roby,OKC,OKC vs. LAC,05/16/2021,W,12,122.2,92.6,29.6,0.0,0.00,0.0,0.0,31.3,18.5,0.0,62.5,62.5,27.6,106.96
Zeke Nnaji,DEN,DEN @ POR,05/16/2021,L,13,106.7,93.3,13.3,0.0,0.00,0.0,4.8,21.1,12.5,0.0,150.0,150.0,5.4,107.20
Dwight Howard,PHI,PHI vs. ORL,05/16/2021,W,17,125.0,102.9,22.1,13.3,0.50,18.2,7.1,30.0,20.6,36.4,50.0,51.2,23.1,99.94
Terry Rozier,CHA,CHA @ WAS,05/16/2021,L,37,118.3,103.7,14.6,39.1,9.00,31.0,4.7,18.9,11.3,3.4,50.0,54.1,22.0,104.60
Gorgui Dieng,SAS,SAS vs. PHX,05/16/2021,L,10,130.0,150.0,-20.0,25.0,0.00,28.6,12.5,25.0,18.8,0.0,70.0,70.0,22.7,101.23
Sindarius Thornwell,ORL,ORL @ PHI,05/16/2021,L,19,133.3,100.0,33.3,18.8,3.00,42.9,0.0,9.5,5.9,14.3,125.0,121.5,8.7,108.01
Elijah Bryant,MIL,MIL @ CHI,05/16/2021,L,32,119.7,105.7,14.0,13.0,0.75,14.3,6.5,13.3,9.8,19.0,50.0,55.9,23.1,107.19
