Player,Team,Match Up,Game Date,Season,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Mike James,BKN,BKN vs. CLE,05/16/2021,W,28,14,6,16,37.5,2,6,33.3,0,1,0.0,0,4,4,8,2,0,2,2,-12
Isaac Okoro,CLE,CLE @ BKN,05/16/2021,L,34,18,6,16,37.5,2,7,28.6,4,8,50.0,1,2,3,0,0,0,3,2,-22
Jae'Sean Tate,HOU,HOU @ ATL,05/16/2021,L,21,7,3,7,42.9,1,2,50.0,0,2,0.0,0,3,3,5,0,1,2,2,-5
Oshae Brissett,IND,IND @ TOR,05/16/2021,W,36,31,10,16,62.5,5,8,62.5,6,9,66.7,1,9,10,3,0,0,0,3,10
Dwight Howard,PHI,PHI vs. ORL,05/16/2021,W,17,5,2,4,50.0,0,0,-,1,2,50.0,1,6,7,2,2,0,4,4,9
JaVale McGee,DEN,DEN @ POR,05/16/2021,L,15,9,4,9,44.4,0,1,0.0,1,2,50.0,4,4,8,2,0,2,0,1,6
Jahlil Okafor,DET,DET vs. MIA,05/16/2021,L,24,7,3,5,60.0,0,0,-,1,1,100,1,4,5,0,0,1,1,3,-8
Anthony Edwards,MIN,MIN vs. DAL,05/16/2021,W,38,30,10,21,47.6,5,9,55.6,5,5,100,0,0,0,4,0,2,1,1,9
Thaddeus Young,CHI,CHI vs. MIL,05/16/2021,W,26,20,8,15,53.3,0,1,0.0,4,6,66.7,1,6,7,3,0,3,4,2,5
Terry Rozier,CHA,CHA @ WAS,05/16/2021,L,37,22,8,19,42.1,3,6,50.0,3,3,100,2,7,9,9,3,0,1,2,13
Doug McDermott,IND,IND @ TOR,05/16/2021,W,32,20,8,15,53.3,4,8,50.0,0,0,-,0,1,1,2,1,1,1,4,3
Royce O'Neale,UTA,UTA @ SAC,05/16/2021,W,28,9,3,7,42.9,2,6,33.3,1,2,50.0,0,2,2,2,0,1,2,2,9
RJ Barrett,NYK,NYK vs. BOS,05/16/2021,W,33,22,7,12,58.3,2,4,50.0,6,8,75.0,0,4,4,2,0,0,1,4,5
Romeo Langford,BOS,BOS @ NYK,05/16/2021,L,34,14,5,11,45.5,0,1,0.0,4,6,66.7,1,3,4,1,1,0,2,4,-1
Tacko Fall,BOS,BOS @ NYK,05/16/2021,L,17,3,1,2,50.0,0,0,-,1,2,50.0,4,4,8,0,0,3,0,2,-6
Jaden McDaniels,MIN,MIN vs. DAL,05/16/2021,W,32,19,8,13,61.5,3,7,42.9,0,0,-,2,1,3,2,0,1,2,4,15
Tim Hardaway Jr.,DAL,DAL @ MIN,05/16/2021,L,24,15,5,7,71.4,2,3,66.7,3,3,100,0,0,0,4,0,1,1,1,-20
Armoni Brooks,HOU,HOU @ ATL,05/16/2021,L,34,18,6,19,31.6,6,18,33.3,0,0,-,0,4,4,0,2,0,1,3,-31
Domantas Sabonis,IND,IND @ TOR,05/16/2021,W,39,25,12,18,66.7,1,2,50.0,0,0,-,3,13,16,5,3,0,6,3,9
Vlatko Cancar,DEN,DEN @ POR,05/16/2021,L,17,4,2,5,40.0,0,2,0.0,0,0,-,0,2,2,0,0,0,0,1,-1
Paul Reed,PHI,PHI vs. ORL,05/16/2021,W,24,17,7,13,53.8,0,0,-,3,4,75.0,7,5,12,3,1,1,2,3,2
Elfrid Payton,NYK,NYK vs. BOS,05/16/2021,W,14,0,0,4,0.0,0,0,-,0,0,-,0,4,4,1,0,0,2,0,2
Josh Hall,OKC,OKC vs. LAC,05/16/2021,W,43,25,11,21,52.4,1,6,16.7,2,6,33.3,1,9,10,2,0,0,3,5,9
Patrick Williams,CHI,CHI vs. MIL,05/16/2021,W,30,11,4,8,50.0,0,1,0.0,3,3,100,3,4,7,1,1,2,3,2,-2
Nathan Knight,ATL,ATL vs. HOU,05/16/2021,W,26,13,6,9,66.7,1,3,33.3,0,2,0.0,3,7,10,0,0,2,0,1,14
Stanley Johnson,TOR,TOR vs. IND,05/16/2021,L,43,24,6,18,33.3,3,12,25.0,9,11,81.8,3,2,5,7,2,0,6,1,-8
Donta Hall,ORL,ORL @ PHI,05/16/2021,L,25,14,4,6,66.7,0,0,-,6,8,75.0,3,7,10,2,0,2,2,4,5
Cameron Payne,PHX,PHX @ SAS,05/16/2021,W,27,19,7,14,50.0,3,6,50.0,2,2,100,0,4,4,6,1,0,2,1,11
Jay Scrubb,LAC,LAC @ OKC,05/16/2021,L,36,14,7,17,41.2,0,4,0.0,0,0,-,2,5,7,1,1,0,1,2,-4
Obi Toppin,NYK,NYK vs. BOS,05/16/2021,W,10,6,3,5,60.0,0,1,0.0,0,0,-,0,2,2,0,0,0,0,0,5
Draymond Green,GSW,GSW vs. MEM,05/16/2021,W,38,14,4,7,57.1,0,2,0.0,6,6,100,1,7,8,9,1,2,3,3,7
