Player,Team,Match Up,Game Date,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Paolo Banchero,ORL,ORL @ TOR,12/03/2022,L,27,9,2,8,25.0,1,5,20.0,4,6,66.7,2,1,3,3,1,0,2,2,-28
Christian Koloko,TOR,TOR vs. ORL,12/03/2022,W,18,6,3,5,60.0,0,0,-,0,0,-,2,3,5,0,0,1,0,3,28
Rudy Gobert,MIN,MIN vs. OKC,12/03/2022,L,9,6,3,3,100,0,0,-,0,2,0.0,2,2,4,0,0,0,0,2,-11
Kyle Anderson,MIN,MIN vs. OKC,12/03/2022,L,31,6,2,3,66.7,0,0,-,2,2,100,1,5,6,5,2,4,4,1,13
Shai Gilgeous-Alexander,OKC,OKC @ MIN,12/03/2022,W,35,33,10,17,58.8,1,2,50.0,12,12,100,0,1,1,6,3,1,4,0,-6
Anthony Edwards,MIN,MIN vs. OKC,12/03/2022,L,37,26,10,22,45.5,2,6,33.3,4,6,66.7,0,3,3,4,6,0,5,2,5
Jaden McDaniels,MIN,MIN vs. OKC,12/03/2022,L,18,8,3,4,75.0,2,3,66.7,0,0,-,1,0,1,0,1,1,2,5,-22
Aleksej Pokusevski,OKC,OKC @ MIN,12/03/2022,W,20,12,5,10,50.0,0,3,0.0,2,2,100,3,5,8,1,0,0,2,2,-4
Josh Giddey,OKC,OKC @ MIN,12/03/2022,W,33,21,8,16,50.0,3,7,42.9,2,3,66.7,1,11,12,7,2,2,4,4,8
Wendell Moore Jr.,MIN,MIN vs. OKC,12/03/2022,L,16,9,4,6,66.7,1,3,33.3,0,0,-,0,0,0,1,0,0,2,1,-2
Jeremiah Robinson-Earl,OKC,OKC @ MIN,12/03/2022,W,29,14,5,11,45.5,0,3,0.0,4,4,100,5,2,7,2,2,0,1,3,13
Luguentz Dort,OKC,OKC @ MIN,12/03/2022,W,32,18,6,12,50.0,3,4,75.0,3,5,60.0,2,2,4,3,1,0,6,3,-7
Stephen Curry,GSW,GSW vs. HOU,12/03/2022,W,35,30,10,21,47.6,8,17,47.1,2,3,66.7,0,3,3,10,1,1,4,0,19
JaMychal Green,GSW,GSW vs. HOU,12/03/2022,W,10,4,2,4,50.0,0,1,0.0,0,0,-,1,2,3,0,1,0,0,2,-2
Andrew Wiggins,GSW,GSW vs. HOU,12/03/2022,W,34,36,14,19,73.7,8,10,80.0,0,2,0.0,2,3,5,2,2,1,1,1,34
Kevon Looney,GSW,GSW vs. HOU,12/03/2022,W,27,9,3,4,75.0,0,0,-,3,5,60.0,0,12,12,2,0,1,0,2,19
Donte DiVincenzo,GSW,GSW vs. HOU,12/03/2022,W,20,0,0,5,0.0,0,5,0.0,0,0,-,1,1,2,5,2,0,2,4,2
Bruno Fernando,HOU,HOU @ GSW,12/03/2022,L,11,2,1,1,100,0,0,-,0,0,-,0,0,0,0,1,1,1,1,6
Kevin Porter Jr.,HOU,HOU @ GSW,12/03/2022,L,32,20,6,16,37.5,1,9,11.1,7,7,100,0,3,3,4,2,0,4,3,-17
Ty Jerome,GSW,GSW vs. HOU,12/03/2022,W,2,2,1,1,100,0,0,-,0,0,-,0,0,0,1,0,0,0,0,3
Jalen Green,HOU,HOU @ GSW,12/03/2022,L,31,13,6,19,31.6,0,5,0.0,1,1,100,0,1,1,3,1,0,2,0,-18
Kenyon Martin Jr.,HOU,HOU @ GSW,12/03/2022,L,28,13,5,11,45.5,0,3,0.0,3,3,100,4,3,7,1,0,0,0,1,-27
Austin Rivers,MIN,MIN vs. OKC,12/03/2022,L,15,4,1,3,33.3,0,2,0.0,2,2,100,0,1,1,0,1,0,2,2,-10
Dalano Banton,TOR,TOR vs. ORL,12/03/2022,W,11,2,1,2,50.0,0,0,-,0,0,-,0,3,3,0,0,0,2,3,-17
Franz Wagner,ORL,ORL @ TOR,12/03/2022,L,22,9,4,8,50.0,1,3,33.3,0,0,-,0,1,1,1,2,0,3,1,-31
Malachi Flynn,TOR,TOR vs. ORL,12/03/2022,W,6,5,2,2,100,1,1,100,0,0,-,0,0,0,0,0,0,1,2,-13
R.J. Hampton,ORL,ORL @ TOR,12/03/2022,L,8,4,1,2,50.0,0,1,0.0,2,2,100,0,2,2,2,0,0,0,0,9
Bol Bol,ORL,ORL @ TOR,12/03/2022,L,28,18,7,8,87.5,0,1,0.0,4,5,80.0,1,6,7,1,1,1,5,1,-17
Moritz Wagner,ORL,ORL @ TOR,12/03/2022,L,22,5,2,7,28.6,0,1,0.0,1,2,50.0,0,4,4,0,1,1,3,3,-28
O.G. Anunoby,TOR,TOR vs. ORL,12/03/2022,W,33,32,12,17,70.6,2,4,50.0,6,8,75.0,2,0,2,4,3,0,1,2,21
Markelle Fultz,ORL,ORL @ TOR,12/03/2022,L,19,7,3,8,37.5,0,0,-,1,2,50.0,0,1,1,4,1,0,1,2,-21
Juancho Hernangomez,TOR,TOR vs. ORL,12/03/2022,W,5,1,0,0,-,0,0,-,1,2,50.0,0,0,0,0,0,0,0,0,6
Pascal Siakam,TOR,TOR vs. ORL,12/03/2022,W,31,26,9,15,60.0,1,4,25.0,7,7,100,2,6,8,10,3,0,1,1,25
Khem Birch,TOR,TOR vs. ORL,12/03/2022,W,6,2,1,2,50.0,0,0,-,0,0,-,1,1,2,0,0,1,1,1,2
AJ Green,MIL,MIL @ CHA,12/03/2022,W,14,8,2,3,66.7,2,2,100,2,2,100,0,3,3,1,0,0,1,1,14
Kai Jones,CHA,CHA vs. MIL,12/03/2022,L,15,0,0,1,0.0,0,1,0.0,0,0,-,1,2,3,1,1,0,1,1,-4
Nick Richards,CHA,CHA vs. MIL,12/03/2022,L,18,9,3,7,42.9,0,0,-,3,4,75.0,2,3,5,0,0,0,2,0,-11
Jevon Carter,MIL,MIL @ CHA,12/03/2022,W,28,14,4,10,40.0,1,3,33.3,5,6,83.3,1,4,5,6,2,0,4,1,2
Terry Rozier,CHA,CHA vs. MIL,12/03/2022,L,36,26,10,21,47.6,1,7,14.3,5,5,100,0,5,5,4,0,0,4,4,-2
Kelly Oubre Jr.,CHA,CHA vs. MIL,12/03/2022,L,39,20,4,14,28.6,1,5,20.0,11,12,91.7,0,2,2,0,2,0,1,4,3
George Hill,MIL,MIL @ CHA,12/03/2022,W,26,8,4,7,57.1,0,0,-,0,0,-,1,1,2,5,1,0,4,2,8
Theo Maledon,CHA,CHA vs. MIL,12/03/2022,L,19,5,2,4,50.0,1,2,50.0,0,0,-,0,1,1,0,0,0,0,0,-14
Jordan Nwora,MIL,MIL @ CHA,12/03/2022,W,32,17,7,11,63.6,2,4,50.0,1,3,33.3,3,1,4,1,1,0,2,1,-3
Jalen McDaniels,CHA,CHA vs. MIL,12/03/2022,L,33,21,8,15,53.3,2,5,40.0,3,4,75.0,0,5,5,2,1,1,2,4,-5
